cust#,GL_ACC,POSTING_DT,AMT,Unnamed: 0,ccy_code,APPRV_STATE, branch_region  ,Memo (v2),REASON_TEXT,,YEAR_ADDED_2023,new_col_202303, area  ,mystery_2023_03_95,mystery_2023_03_71,mystery_2023_03_79
C49381,A-3231337,02/03/2023,15178.63,,AED,Open,FJR,,,,Y23,m3,FJR,,,x
C17497,A-5679519,2023-03-18 00:00:00,1683.38,,EUR,,AUH,,,,Y23,m3,AUH,x,,
C64103,A-6086791,02 March 2023,26125.39,,GBP,,  FJR,!!!,!!!,,,m3,FJR,x,,
C34494,A-2357243,2023-03-28,-7731.462487056103,,GBP,Closed,RAK,ok,ok,,Y23,36,RAK,,,
C51682,A-7093273,19/03/2023,,,OMR,,UAQ,needs review,needs review,,Y23,m3,UAQ,,,x
C23879,A/89629,2023-03-13,,,AED,,UAQ,ok,ok,,1,,UAQ,,,
C53769,A-6812337,Mar-15-23,27811.12596397423,x,USD,Pending,AUH,,,,Y23,m3,AUH,,x,
,A-1462196,2023-03-17,not available,,GBP,,AUH,ملاحظة,ملاحظة,junk,,m3,AUH,,,x
C81084,A-8937501,10/03/2023,18629.9925629354,,GBP,,UAQ,ok,ok,junk,Y23,,UAQ,,,x
C93395,A/27623,2023-03-26,(7804.16),,EUR,Closed,AUH,,,,Y23,m3,  AUH,,x,
C29544,A-1612253,2023-03-25 00:00:00,"5,329.51",,GBP,,AAN,,,,0,m3,AAN,,,
C11770,A-6738152,32/13/2023,5784.29,,USD,In Review,SHJ,ok,ok,,Y23,m3,SHJ,,,
C97934,A-8630193,2023-03-19,-3546.486219824972,,OMR,Pending,AAN,,,,Y23,,AAN,x,x,
C67371,A-8940505,24/03/2023,20605.16,,OMR,,AAN,,,,Y23,m3,AAN,,,
,A-8261868,2023-03-25 00:00:00,24789.72450220122,,OMR,,FJR,ok,ok,junk,Y23,,FJR,,,
C71889,A-4750714,32/13/2023,-5240.92,,GBP,,UAQ,,,,1,m3,UAQ,,,
C89613,A-6390271,2023-03-19 00:00:00,(18381.63),,USD,,DXB,ok,ok,,Y23,,DXB,,,x
C38244,A-7619057,32/13/2023,13463.35,,OMR,In Review,DXB,needs review,needs review,,1,,DXB,,,
C76112,A-6671384,2023-03-04,not available,,SAR,Closed,SHJ,,,junk,Y23,55,SHJ,,,
C85684,A-1569277,32/13/2023,10727.89,,GBP,In Review,RAK,!!!,!!!,junk,,,RAK,,,
C11134,A-5334139,23 March 2023,14231.64,x,SAR,Open,AUH,needs review,needs review,junk,Y23,m3,AUH,,,
,A-6442753,2023-03-15,"-7,592.27",,USD,Pending,RAK,,,,Y23,95,RAK,,,
,A-8188665,Mar-01-23,23460.36,,USD,,AAN,ملاحظة,ملاحظة,,1,m3,AAN,,,
,A/47883,2023-03-18,-772.26,x,GBP,In Review,AAN,!!!,!!!,,Y23,,AAN,,,
,A-5435883,28/03/2023,,,AED,In Review,RAK,needs review,needs review,,1,,RAK,,,
C94091,A-7905566,32/13/2023,,,EUR,Pending,FJR,ok,ok,,1,m3,FJR,,,
C47211,A-9005863,2023-03-27 00:00:00,not available,,USD,Closed,DXB,,,,1,24,  DXB,,,
C30452,A-6284206,Mar-09-23,,,USD,Closed,UAQ,needs review,needs review,,Y23,,UAQ,,,
C97506,A-1726306,2023-03-17 00:00:00,,,GBP,In Review,UAQ,ok,ok,,Y23,m3,UAQ,x,,
C53870,A-4660380,2023-03-19,,,USD,In Review,  AUH,!!!,!!!,,0,80,AUH,,,
C18505,A-2738662,2023-03-13 00:00:00,6531.485158307981,x,OMR,Closed,DXB,,,,Y23,m3,DXB,x,,
C46707,A-9400363,2023-03-04,(84.64),,EUR,Open,AAN,,,,Y23,m3,AAN,,x,
C76672,A-1724640,,4277.72,x,SAR,Open,AAN,needs review,needs review,,Y23,m3,AAN,,,x
,A-4616369,Mar-15-23,19120.34,,AED,Open,AAN,needs review,needs review,,Y23,41,AAN,,x,
C24971,A-5272395,28/03/2023,7137.85,,EUR,,UAQ,ملاحظة,ملاحظة,,Y23,72,UAQ,,,x
C20396,A-5819608,32/13/2023,12014.41,,USD,Pending,SHJ,ملاحظة,ملاحظة,junk,1,83,SHJ,,,
C72262,A-4013933,32/13/2023,-1936.76,,OMR,Closed,UAQ,ok,ok,,Y23,m3,UAQ,,,
C33702,A/12872,2023-03-19,(2275.95),x,GBP,,SHJ,needs review,needs review,,1,,SHJ,,,
,A-7182020,Mar-15-23,"10,052.27",,GBP,,RAK,ok,ok,,1,m3,  RAK,,,
C86616,A/89299,2023-03-28,,,OMR,Open,FJR,ok,ok,,Y23,77,FJR,,,
C20486,A-3429804,24/03/2023,,,SAR,In Review,AAN,ملاحظة,ملاحظة,,Y23,,AAN,,,
C60415,A-1677280,32/13/2023,10082.04,,OMR,,DXB,!!!,!!!,,Y23,,DXB,,x,
C50064,A-6573312,27/03/2023,-7100.359336526221,,USD,In Review,RAK,needs review,needs review,junk,0,,RAK,,,
C32132,A-7437749,2023-03-02,,,SAR,CANCELLED,SHJ,!!!,!!!,,Y23,79,SHJ,,,
C25585,A-5441079,24 March 2023,12489.64,,SAR,Open,RAK,!!!,!!!,,,m3,RAK,,,
C27332,A-2502235,2023-03-17,,,GBP,Open,UAQ,ok,ok,,Y23,m3,UAQ,,,
C84100,A-3117290,Mar-16-23,19807.91,,GBP,Pending,SHJ,needs review,needs review,,,54,SHJ,,,
C44174,A-8188497,10 March 2023,26521.28430791801,,EUR,CANCELLED,  FJR,needs review,needs review,,Y23,73,FJR,,,x
C44486,A-3471716,2023-03-18 00:00:00,9371.69,,SAR,Open,UAQ,ok,ok,,0,,UAQ,,,
,A-1688514,2023-03-13 00:00:00,-5763.73,,AED,In Review,FJR,,,,Y23,,FJR,,,
C16487,A-3665201,2023-03-22 00:00:00,15370.99,,EUR,,SHJ,needs review,needs review,,0,,SHJ,,,
C70800,A-9188800,28 March 2023,-1173.55474805332,,SAR,In Review,SHJ,!!!,!!!,,Y23,m3,SHJ,x,,
C95278,A-9843061,13 March 2023,15707.31,,OMR,CANCELLED,RAK,,,junk,Y23,,RAK,,,x
C12505,A-6871101,2023-03-01 00:00:00,22700.01,,USD,,SHJ,needs review,needs review,,Y23,99,SHJ,,,
C17983,A-6478193,2023-03-15,"-5,578.45",,OMR,,  SHJ,ok,ok,,,m3,  SHJ,,,
C76410,A-6303028,17/03/2023,6320.8,,SAR,In Review,UAQ,ok,ok,,1,72,UAQ,,x,
C68954,A-2999107,2023-03-26,(1997.88),x,gbp ,Pending,AAN,,,junk,Y23,m3,AAN,,,
,A-8293570,21 March 2023,7568.15774219003,x,GBP,Pending,DXB,,,,1,,DXB,,,
C60378,A-5432955,2023-03-21,-4635.89,,EUR,Closed,AUH,ok,ok,,Y23,19,  AUH,,,
,A-7446241,09 March 2023,,,OMR,,FJR,ok,ok,,Y23,14,FJR,,,
C31029,A-1097210,,,,SAR,In Review,UAQ,ملاحظة,ملاحظة,,Y23,,UAQ,,,
C33972,A-4080434,14/03/2023,6480.33,,SAR,Open,AUH,,,junk,,88,AUH,,,
C86193,A-8923242,2023-03-05,29874.13,,EUR,Open,RAK,,,,1,23,RAK,,,x
C45015,A-2392246,2023-03-14 00:00:00,"29,490.60",,AED,,RAK,ok,ok,,1,m3,RAK,,,
,A-1715751,Mar-28-23,"-2,775.54",,EUR,,UAQ,needs review,needs review,,Y23,,UAQ,,,
C87204,A/50751,27/03/2023,24962.48,,AED,,UAQ,ok,ok,,,,UAQ,,,x
C74166,A-4692377,2023-03-04 00:00:00,-4835.05,,SAR,In Review,AUH,ملاحظة,ملاحظة,,Y23,m3,AUH,,,
C12733,A-9172184,2023-03-16,13209.09,,SAR,CANCELLED,AUH,ok,ok,junk,Y23,75,  AUH,,,
C89243,A-1099605,Mar-10-23,(9619.72),,EUR,In Review,AUH,,,,Y23,,  AUH,,,
C17963,A-6551840,2023-03-24 00:00:00,15166.07,,aed ,,RAK,,,,,m3,RAK,x,,
C18389,A-3994540,2023-03-25 00:00:00,,,SAR,,UAQ,ok,ok,,,m3,UAQ,x,,
C88073,A-2552347,32/13/2023,"-7,392.08",,SAR,In Review,RAK,ok,ok,,1,49,RAK,x,,
C86706,A/96228,32/13/2023,10312.66,,OMR,Closed,FJR,needs review,needs review,,Y23,,FJR,,,
C86319,A-3408285,2023-03-26,-2473.67,,EUR,Pending,AUH,needs review,needs review,,,,AUH,,x,x
,A-2436858,17/03/2023,(3843.71),,SAR,In Review,UAQ,,,,1,,UAQ,,,x
,A-2338713,22/03/2023,11583.44,,SAR,Open,SHJ,needs review,needs review,,Y23,m3,SHJ,x,,x
C20087,A-2097012,13 March 2023,26428.35539794886,,gbp ,,DXB,needs review,needs review,,,m3,  DXB,,,
,A-8614462,Mar-23-23,,,AED,Pending,FJR,ملاحظة,ملاحظة,,Y23,,FJR,,x,
C85503,A-9223081,2023-03-20,"19,357.47",,GBP,,FJR,needs review,needs review,,0,,FJR,,,
C95983,A-9312545,,-3826.86,,SAR,,UAQ,ok,ok,,,,UAQ,,,
C43634,A/91945,06/03/2023,"14,257.54",,AED,CANCELLED,AUH,!!!,!!!,,Y23,m3,  AUH,,,
C46547,A-5756264,11 March 2023,6541.85,,EUR,,RAK,,,,1,m3,RAK,,,x
C79732,A/94388,07 March 2023,(3530.78),,GBP,In Review,DXB,,,,,,DXB,,,
C67766,A/71999,Mar-25-23,"24,964.47",,OMR,Open,RAK,!!!,!!!,junk,Y23,92,RAK,,,
,A-7361432,09/03/2023,27373.94,,OMR,Pending,UAQ,ok,ok,,Y23,m3,UAQ,,x,
C98966,A-2261948,23 March 2023,27077.176222993152,,USD,Open,AUH,,,,Y23,m3,AUH,,,x
C65574,A-9807509,2023-03-14,3744.15,,GBP,Pending,SHJ,,,,Y23,,SHJ,,,
C78111,A-8510729,32/13/2023,20514.24,,GBP,,AAN,needs review,needs review,,1,60,AAN,,,x
,A-6551596,26 March 2023,7573.110595974808,,OMR,CANCELLED,FJR,,,,Y23,m3,FJR,,,
C26387,A-1972406,2023-03-06,3465.97,,AED,CANCELLED,RAK,,,,Y23,,RAK,,,
C30615,A-3924567,Mar-07-23,(12141.30),,EUR,CANCELLED,AAN,ok,ok,,1,m3,AAN,,,
C39206,A-2697034,2023-03-04 00:00:00,(5202.80),,EUR,,SHJ,ok,ok,,Y23,m3,SHJ,,,
C10479,A-5267654,Mar-27-23,16190.82,,GBP,Closed,AUH,ok,ok,,,m3,AUH,,,
C82428,A/18872,32/13/2023,-3006.3008708891784,,EUR,,DXB,ملاحظة,ملاحظة,junk,1,29,DXB,,,x
C82334,A-7466310,2023-03-10,21048.13,,GBP,Pending,DXB,,,,,,DXB,,,
,A-4768831,Mar-11-23,1471.54,,SAR,Closed,UAQ,ملاحظة,ملاحظة,,Y23,30,UAQ,,,
C93844,A-9795145,Mar-10-23,,,GBP,Pending,FJR,,,,Y23,m3,FJR,,x,
C92786,A-4936560,Mar-09-23,"8,336.78",,EUR,,AAN,needs review,needs review,junk,Y23,97,AAN,,,
C77429,A-4893062,Mar-06-23,-7086.14,x,EUR,In Review,DXB,needs review,needs review,,1,,DXB,,,x
C19295,A-5181221,32/13/2023,,,OMR,Open,UAQ,needs review,needs review,junk,Y23,m3,UAQ,,,
,A/50253,27/03/2023,,,SAR,Pending,DXB,ok,ok,,0,46,DXB,,,
,A-4643697,2023-03-25,4333.11,,USD,,SHJ,!!!,!!!,,0,m3,SHJ,,,
C81725,A-8636616,2023-03-22 00:00:00,"20,940.10",,EUR,Open,RAK,ملاحظة,ملاحظة,,,,RAK,,,
C40182,A-4992248,2023-03-07,,x,EUR,Pending,SHJ,needs review,needs review,,Y23,35,SHJ,,,x
C71897,,0000-00-00,5521.8,,EUR,Pending,RAK,ok,ok,junk,Y23,,RAK,,,
C40247,A-5255146,2023-03-08,23715.72,,OMR,,DXB,ok,ok,,,,DXB,,,
,A-5247106,2023-03-22,26175.08,x,GBP,In Review,AAN,needs review,needs review,,Y23,81,  AAN,,,
C36878,A-1335927,32/13/2023,19165.61,,EUR,Closed,AUH,ok,ok,,Y23,m3,AUH,x,,
C56083,A-4286685,2023-03-23,2560.75,,GBP,Open,RAK,,,,0,m3,RAK,,,
C95323,A-6470046,2023-03-23,"19,762.57",,EUR,,  FJR,ok,ok,,Y23,,FJR,,,
C72144,A-8563036,Mar-19-23,15579.23,,OMR,CANCELLED,RAK,,,,1,,RAK,,,
,A-1218888,Mar-07-23,3972.428031619225,,EUR,,AAN,needs review,needs review,,,,  AAN,,,
C24573,A-6845785,32/13/2023,-7579.9,,eur ,In Review,SHJ,ok,ok,,0,,SHJ,,,
,A-7360398,28/03/2023,24379.28,,USD,Pending,UAQ,ملاحظة,ملاحظة,,Y23,m3,UAQ,,,
,A/32107,2023-03-15 00:00:00,,,USD,,UAQ,needs review,needs review,,Y23,m3,UAQ,,,
C18512,A-4401526,20/03/2023,,,AED,,AUH,ok,ok,,Y23,,  AUH,,,
C54051,A-8528048,32/13/2023,(21406.48),,GBP,,DXB,,,,1,56,DXB,,,x
C99133,A-9474821,2023-03-19,5188.58,,eur ,,RAK,ok,ok,,,,RAK,,,
C33219,A-4314733,2023-03-06,15883.55,,OMR,Pending,UAQ,ملاحظة,ملاحظة,,Y23,,UAQ,,,
C53023,A-4732340,32/13/2023,23027.97,,OMR,CANCELLED,  SHJ,ok,ok,junk,Y23,29,  SHJ,,x,
C53714,A-7745436,28 March 2023,(7695.18),,GBP,,DXB,needs review,needs review,,1,m3,DXB,x,,
C19638,A-2731948,Mar-24-23,2859.12,,OMR,,  RAK,,,,Y23,m3,RAK,,,
C98570,A-1767704,12/03/2023,18558.29,,OMR,In Review,FJR,ok,ok,,Y23,75,FJR,,x,
C73702,A-3154099,2023-03-22,,,OMR,Pending,DXB,!!!,!!!,,0,m3,DXB,,,
C37489,A-9859462,17/03/2023,2706.01,,AED,Open,AUH,needs review,needs review,,0,m3,AUH,,,
C86036,A-1371562,2023-03-07 00:00:00,10262.26012574228,,OMR,In Review,FJR,ok,ok,,Y23,92,FJR,,,
C41290,A-8791574,03/03/2023,-2000.762962821276,,SAR,Open,RAK,ok,ok,,0,92,RAK,,,
C21545,A-2587724,17/03/2023,29546.6,,GBP,,UAQ,needs review,needs review,,,81,UAQ,,,
C39709,A-2287413,32/13/2023,(26961.68),,OMR,,RAK,,,,0,22,RAK,,,
,A/12965,2023-03-15 00:00:00,,,AED,In Review,FJR,ok,ok,,1,m3,FJR,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,
cust#,GL_ACC,POSTING_DT,AMT,Unnamed: 0,ccy_code,APPRV_STATE, branch_region  ,Memo (v2),REASON_TEXT,,YEAR_ADDED_2023,new_col_202303, area  ,mystery_2023_03_95,mystery_2023_03_71,mystery_2023_03_79
C72506,A-1210958,22 March 2023,29422.94,,OMR,Pending,RAK,,,,,,RAK,,,
C61012,A-4694611,2023-03-14,(2605.98),,AED,Closed,DXB,ok,ok,,0,81,DXB,x,,
C66017,A-9289384,11 March 2023,,,SAR,CANCELLED,DXB,ok,ok,,1,m3,DXB,,,
,A-8752539,2023-03-04 00:00:00,20151.87,,OMR,,AUH,,,,0,57,AUH,,,
,A/46400,2023-03-23,5145.16,,SAR,Open,AAN,needs review,needs review,,1,m3,AAN,,,
C10747,,2023-03-17,-2642.616908196132,,EUR,Pending,RAK,,,,,45,  RAK,,,x
C58373,A-8211594,09/03/2023,-1625.57,,AED,,UAQ,ok,ok,,1,m3,UAQ,,,
C28773,A-7846356,32/13/2023,19472.84225813236,,OMR,Closed,FJR,needs review,needs review,junk,Y23,26,FJR,,,
C27170,A-4513968,09 March 2023,17094.61,,EUR,Closed,DXB,,,,Y23,m3,DXB,,x,x
C74630,A-3452319,11 March 2023,29688.71,,EUR,,AAN,,,,Y23,m3,AAN,,,
C51159,A-5459394,Mar-10-23,17865.784818938548,,OMR,CANCELLED,  DXB,!!!,!!!,,Y23,,DXB,,,
C93204,A-4731947,24/03/2023,26339.85,,USD,In Review,SHJ,,,junk,1,35,SHJ,,x,
C71295,A-5382690,28/03/2023,,,USD,CANCELLED,UAQ,!!!,!!!,,Y23,m3,UAQ,,,
C29972,A-5994547,0000-00-00,-6778.069032954144,,OMR,In Review,FJR,,,,,m3,FJR,,,
C47420,A-9637871,Mar-05-23,24112.88,x,GBP,In Review,FJR,,,,,m3,FJR,,x,
C36479,A-5742305,09/03/2023,"-4,819.50",,AED,CANCELLED,FJR,needs review,needs review,,,42,FJR,,,
C71402,A-5164013,2023-03-16 00:00:00,"-1,220.26",,OMR,In Review,DXB,needs review,needs review,,1,m3,DXB,,,
,A/8505,2023-03-27,,,USD,,AAN,ok,ok,,,m3,AAN,,x,
C85739,A/97754,06 March 2023,-7257.42,,GBP,Pending,AUH,,,,Y23,m3,AUH,,,
C24245,A-3177914,Mar-06-23,28790.75,,EUR,Open,SHJ,needs review,needs review,junk,,m3,SHJ,,,
C21438,A-9666833,04 March 2023,-2150.047184439674,,USD,,DXB,,,,Y23,m3,  DXB,,,
C70301,A-3435620,2023-03-16,6969.546778255778,,USD,,  AUH,ok,ok,,1,,AUH,,,
C52937,A-4035848,2023-03-24 00:00:00,,x,EUR,Pending,AUH,,,,Y23,,AUH,,,x
C92021,A-1597281,2023-03-04,25536.1,x,GBP,In Review,RAK,ملاحظة,ملاحظة,,,,RAK,,,
C32030,A-9811696,32/13/2023,"23,191.46",,OMR,In Review,AAN,needs review,needs review,,Y23,m3,AAN,x,,
C81682,,2023-03-20,13029.771020223603,,EUR,Pending,RAK,,,,Y23,,RAK,,,
