CID,A/C No.,DATE,NET_VALUE,AMOUNT (v2),ISO_CURR (v2),txn_status,Area,Commentary,Notes,,year_added_2022,new_col_202211,branch_region,mystery_2022_11_39,mystery_2022_11_43,Unnamed: 0
C27422,A-3172132,2022-11-14,9268.89,9268.89,EUR,In Review,UAQ,,,,1,62,UAQ,,,
C61433,A-5188898,Nov-22-22,28718.25,28718.25,AED,Open,SHJ,ملاحظة,ملاحظة,,Y22,m11,SHJ,,,
C32440,A-8261375,Nov-17-22,25357.15225322693,"25,366.36",AED,CANCELLED,DXB,ok,ok,,,m11,DXB,x,x,
C40979,A-1910415,2022-11-12 00:00:00,"11,132.19",,SAR,Closed,AUH,needs review,needs review,,Y22,m11,AUH,,,
,A-3423045,15 November 2022,19162.8,19174.11159763742,EUR,CANCELLED,AAN,ok,ok,,Y22,,  AAN,x,,
C26519,A-8041058,07/11/2022,10678.62,"10,678.62",EUR,Open,RAK,needs review,needs review,junk,Y22,m11,RAK,,,
C32486,A-4720751,2022-11-21,23493.23316867651,23488.04002994096,USD,CANCELLED,UAQ,!!!,!!!,,Y22,83,UAQ,,,
C92074,,05/11/2022,(24619.36),,USD,,DXB,!!!,!!!,,,m11,DXB,,,
C52589,A-2193864,2022-11-01,,11412.36,GBP,CANCELLED,AAN,,,,Y22,,AAN,,,
,A-2196164,2022-11-27,13613.08,"13,591.85",SAR,Open,RAK,,,,,m11,RAK,,,
C19099,A-1139680,26 November 2022,12198.44,not available,GBP,Closed,AUH,needs review,needs review,,Y22,m11,AUH,,,
C84044,A-4260496,Nov-21-22,not available,9577.04,GBP,Pending,RAK,ok,ok,,,m11,RAK,,x,
C62563,A/46422,Nov-19-22,,"28,963.67",EUR,Closed,AUH,ok,ok,,0,m11,AUH,,,
C70501,,32/13/2023,19094.02,,AED,Pending,FJR,ok,ok,,,,FJR,,,
,A-7229166,Nov-27-22,9356.642309314233,(9357.99),GBP,Closed,SHJ,needs review,needs review,,,m11,SHJ,,,
,A-3855264,2022-11-04,,,GBP,CANCELLED,UAQ,needs review,needs review,junk,0,93,UAQ,,,
C78969,A-9588532,25/11/2022,29004.9,,USD,,RAK,,,,Y22,17,  RAK,x,,
C76398,A-9836955,2022-11-23,,-6366.86,aed ,,UAQ,ok,ok,,Y22,,UAQ,,x,
C68878,A-3256073,16/11/2022,-1743.12,-1748.222903835979,SAR,In Review,SHJ,ok,ok,,Y22,28,SHJ,,x,
C44468,A-1832223,32/13/2023,(8734.02),8744.226767753056,GBP,In Review,UAQ,ok,ok,,0,m11,  UAQ,,,x
C19329,A-5186290,Nov-03-22,-2796.99,-2805.387059845098,AED,Open,  RAK,ok,ok,,,29,RAK,,,
,A-6677978,27/11/2022,"-1,011.15",-986.83,USD,Open,FJR,needs review,needs review,,Y22,72,FJR,,,
C93880,A-4996833,,22763.19,22717.61107837078,OMR,,UAQ,,,,1,m11,UAQ,,,
C91336,A-6449824,16/11/2022,19249.19,19249.19,AED,CANCELLED,FJR,ok,ok,junk,,,FJR,,,
C87870,A-2867454,2022-11-20,23266.84,,EUR,In Review,AUH,!!!,!!!,,0,,AUH,x,,x
C39184,A-8036809,2022-11-05,1753.52,1753.52,USD,Closed,DXB,,,,Y22,81,DXB,,,
C89024,A-1858277,2022-11-12,-1485.31,-1468.398554137554,SAR,CANCELLED,RAK,,,,,m11,RAK,x,,
C38769,A/29415,14 November 2022,5720.80767482494,5740.36,SAR,,UAQ,,,,,,UAQ,,,
C25930,A-3793855,2022-11-02,,-6702.422181490775,EUR,CANCELLED,DXB,needs review,needs review,,Y22,,DXB,,,
C47999,A-9786418,03/11/2022,17676.44,"17,676.44",OMR,Pending,AUH,ok,ok,,1,m11,AUH,,,
